event,detector,fs,window,whiten,fmin,fmax,smooth_samples,ringdown_start,ringdown_end,t_peak,t_ring_start,t_ring_end,Xi_mean,Xi_std,Xi_dimensionless
GW190620_030421,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01054692268371580,0.015546922683715800,0.04054692268371580,0.0019984623100011800,0.0015690625687406800,3.0057826066848000
GW190630_185205,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.07358407974243160,0.07858407974243170,0.10358407974243200,0.0018376197311048400,0.00032197238130943400,2.264019285012720
GW190701_203306,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.467041015625,0.472041015625,0.497041015625,0.0012962397098526600,4.80978004012692E-05,2.235459265058330
GW190701_203306,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.114501953125,-0.109501953125,-0.084501953125,0.002071778442465440,0.00046791547967925100,1.9994677047444900
GW190706_222641,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01591801643371580,0.02091801643371580,0.04591801643371580,0.0022795467741197600,0.0005545470331375700,2.970443008270210
GW190706_222641,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.0002930164337158200,0.00529301643371582,0.03029301643371580,0.0016352199371378300,0.00017293452882015800,0.8530520465046720
GW190707_093326,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.21474599838256800,-0.20974599838256800,-0.18474599838256800,0.002169703451751020,0.00036810152388733,4.545061718580480
GW190707_093326,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.06455087661743160,0.06955087661743170,0.09455087661743160,0.00323318378294999,0.0010003401903256000,3.5408077393384400
GW190708_232457,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.04838871955871580,0.05338871955871580,0.07838871955871580,0.0039969896060736,0.0006611002868061670,3.02547743513072
GW190728_064510,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.061279296875,-0.056279296875,-0.031279296875,0.0019201980894819800,0.0002604946085072090,2.102896931549360
GW190728_064510,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.016845703125,0.021845703125,0.046845703125,0.002596419455842430,0.0004889396547557640,4.265186912183940
GW190828_063405,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.05097651481628420,0.05597651481628420,0.08097651481628420,0.0014279041458145800,0.00010469530858064900,1.9547040896638300
